Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABW,3491496479.0,3611815359.0,3562338436.0,3711893680.0,3723029361.0,3935242067.0,4017882135.0,4098239741.0,4098239741.0,4098239741.0,4098239741.0,3183512630.8087997,3718342752.784678,3817994338.559307,3957465671.7468786,4054977625.8987217,4118154177.3102236,4175808335.792567,4234269652.493663,4321614166.885303,4410760423.919813,4501745589.944431,4594607597.973805,4689385163.504809,4786117800.657587,4884845838.649552,4985610438.609216,5088453610.736847,5193418231.819127,5300548063.105092,5409887768.550824,5521482933.440491,5635380083.391501,5751626703.751701,5870271259.396692,5991363214.935528,6114953055.333219,6241092306.958632,6369833559.066576,6501230485.7230015,6635337868.182496
AFG,57116893447.0,57360414055.0,64675178731.0,68297470349.0,70158264545.0,71176481723.0,72785293848.0,74711922906.0,75600418109.0,78557606649.0,76710638230.0,74907171125.21269,73146103532.05894,71426438638.02023,69747203065.64038,68107446321.56718,66506240258.54713,64942678550.06868,63415876177.35656,64798342278.022934,66210946139.68384,67654344765.528946,69129209481.41748,70636226248.11238,72176095980.32123,73749534872.69223,75357274732.91693,77000063322.09453,78678664702.51619,80393859593.03105,82146445732.15913,83937238249.12021,85767070042.95103,87636792169.88737,89547274239.19092,91499404817.60529,93494091842.62909,95532263044.7984,97614866379.175,99742870466.24103,101917265042.40509
AGO,179666000000.0,185904000000.0,201785000000.0,211782000000.0,221996000000.0,224090000000.0,218309000000.0,217987000000.0,213620000000.0,212285000000.0,200822000000.0,189668346120.0,190904983736.70242,196630224198.96613,203126886806.49997,210784770439.10504,219159249368.6507,228122862667.8285,237110903456.94095,234980699100.28378,232869632499.56683,230777531721.19073,228704226376.20755,226649547606.4437,224613328070.7474,222595401931.3598,220595604840.40848,218613773926.52225,216649747781.56638,214703366447.4968,212774471403.3325,210862905552.24496,208968513208.7636,207091140086.09607,205230633283.5626,203386841274.14307,201559613892.13617,199748802320.92923,197954259080.878,196175838017.29538,194413394288.548
ALB,31313465847.0,32110520731.0,32565604774.0,32891917846.0,33475568106.0,34218299364.0,35352629378.0,36696816739.0,38171793797.0,38978524114.0,37436768380.0,36133220105.0084,39220442430.78032,40004851279.39593,41124987115.21902,42523236677.13647,43969026724.15911,45463973632.780525,47009748736.29507,48461691835.764275,49958479649.80369,51501497252.267525,53092172496.401054,54731977336.12489,56422429188.12845,58165092336.03298,59961579377.9237,61813552718.59025,63722726107.85662,65690866226.42388,67719794320.69321,69811387888.08214,71967582414.39345,74190373164.8444,76481817030.41379,78844034431.21515,81279211278.65765,83789600998.21027,86377526614.64099,89045382901.6608,91795638597.96149
ARE,469581000000.0,502116000000.0,524630000000.0,551140000000.0,575446000000.0,604565000000.0,622607000000.0,637385000000.0,644969000000.0,666972000000.0,626057000000.0,587648403050.0,600970392347.1434,626475575798.3562,650256588655.6617,675239446791.8123,701546775638.8213,729847172568.0914,760792692684.9785,783834060175.6357,807573258522.1151,832031422229.716,857230325883.3651,883192403533.0687,909940768666.4713,937499234786.3041,965892336611.0421,995145351917.6442,1025284324045.822,1056336085083.8738,1088328279756.724,1121289390037.4363,1155248760504.11,1190236624464.7375,1226284130873.2766,1263423372060.9048,1301687412307.1414,1341110317276.2754,1381727184345.3047,1423574173850.3867,1466688541279.6196
ARG,959396000000.0,1017000000000.0,1006560000000.0,1030770000000.0,1004870000000.0,1032320000000.0,1010840000000.0,1039330000000.0,1012130000000.0,991622000000.0,893498000000.0,805086372900.0,887205182935.8,922693390253.232,950383418894.7317,976518962914.3369,996049342172.6237,1015970329016.0762,1036289735596.3977,1033858599876.6886,1031433167601.3779,1029013425390.1852,1026599359894.2198,1024190957795.9081,1021788205808.919,1019391090678.0913,1016999599179.3606,1014613718119.6859,1012233434336.9772,1009858734700.0227,1007489606108.4165,1005126035492.4862,1002768009813.2208,1000415516062.1991,998068541261.5172,995727072463.7178,993391096751.7179,991060601238.7384,988735573068.2324,986415999413.8143,984101867479.1896
ARM,26719305576.0,27975112937.0,29989321069.0,30978968665.0,32094211537.0,33121226305.0,33187468758.0,35676528915.0,37531708419.0,40384118258.0,37395693507.0,34630281972.15735,36590355931.781456,37149090666.85976,38643227093.48085,40343529085.59401,42158987894.44574,44056142349.69579,46038668755.4321,48232227166.95342,50530299862.55009,52937866529.801155,55460144118.480064,58102598145.14917,60870954536.372955,63771212036.21298,66809655204.89039,69992868036.78261,73327748227.26315,76821522119.29933,80481760362.19548,84316394316.41266,88333733240.01247,92542482293.96611,96951761405.34442,101571125029.26347,106410582852.40778,111480621482.9936,116792227174.17233,122356909630.11296,128186726946.34933
ATG,1602675635.0,1571285428.0,1624282783.0,1614522851.0,1675805741.0,1739910222.0,1835543678.0,1893259104.0,2023584261.0,2121975706.0,1693498508.0,1351547289.26464,1415894455.7065296,1507842641.6601117,1589371693.294674,1671621678.4226732,1739155194.2309492,1786425432.4101462,1834712511.8481922,1923552961.0969052,2016695242.5791395,2114347659.6153064,2216728601.9891987,2324067034.3547196,2436603008.292244,2554588199.159771,2678286468.939485,2807974456.338473,2943942195.4632945,3086493764.4520183,3235947965.5143137,3392639037.900448,3556917405.3936634,3729150459.9976354,3909723383.571641,4099040009.250947,4297523724.5788965,4505618418.370456,4723789473.424789,4952524807.306965,5192335963.526382
AUS,989556000000.0,1014000000000.0,1053720000000.0,1081120000000.0,1108820000000.0,1132910000000.0,1163970000000.0,1190690000000.0,1224880000000.0,1250760000000.0,1250710000000.0,1223457029100.0,1280873867475.6628,1334171029101.3252,1366924927865.763,1398008800725.4304,1430232903582.1516,1465716981920.025,1503605765902.6575,1540155414860.2192,1577593512684.6414,1615941655790.9795,1655221965559.9465,1695457101098.7776,1736670272312.2866,1778885253291.6536,1822126396028.667,1866418644463.3318,1911787548872.9465,1958259280610.9502,2005860647204.0413,2054619107816.277,2104562789089.0752,2155720501366.2524,2208121755313.4634,2261796778941.623,2316776535044.136,2373092739057.9893,2430777877359.0107,2489865226001.8535,2550388869915.5063
AUT,433588000000.0,446260000000.0,449297000000.0,449412000000.0,452383000000.0,456973000000.0,466064000000.0,476590000000.0,488513000000.0,495798000000.0,462408000000.0,431264821200.0,450602735782.608,462232792393.15704,476099776164.9518,487050071016.7456,496304022366.0637,505237494768.6529,514230722175.5349,523750161304.4485,533445824290.5165,543320973389.7826,553378931249.1743,563623082024.4591,574056872518.896,584683813342.9658,595507480095.5708,606531514567.1001,617759625964.7664,629195592160.6262,640843260962.7037,652706551409.6454,664789455089.3408,677096037481.9547,689630439327.8207,702396878020.6573,715399649026.5758,728643127329.3558,742131768902.4769,755870112208.3997,769862779725.6016
